Tipo de Delito;enero 2014;febrero 2014;marzo 2014;abril 2014;mayo 2014;junio 2014;julio 2014;agosto 2014;septiembre 2014;octubre 2014;noviembre 2014;diciembre 2014;enero 2015;febrero 2015;marzo 2015;abril 2015;mayo 2015;junio 2015;julio 2015;agosto 2015;septiembre 2015;octubre 2015;noviembre 2015;diciembre 2015;enero 2016;febrero 2016;marzo 2016;abril 2016;mayo 2016;junio 2016;julio 2016;agosto 2016;septiembre 2016;octubre 2016;noviembre 2016;diciembre 2016;enero 2017;febrero 2017;marzo 2017;abril 2017;mayo 2017;junio 2017;julio 2017;agosto 2017;septiembre 2017;octubre 2017;noviembre 2017;diciembre 2017;enero 2018;febrero 2018;marzo 2018;abril 2018;mayo 2018;junio 2018;julio 2018;agosto 2018;septiembre 2018;octubre 2018;noviembre 2018;diciembre 2018;enero 2019;febrero 2019;marzo 2019;abril 2019;mayo 2019;junio 2019;julio 2019;agosto 2019;septiembre 2019;octubre 2019;noviembre 2019;diciembre 2019;enero 2020;febrero 2020;marzo 2020;abril 2020;mayo 2020;junio 2020;julio 2020;agosto 2020;septiembre 2020;octubre 2020;noviembre 2020;diciembre 2020;enero 2021;febrero 2021;marzo 2021;abril 2021;mayo 2021;junio 2021;julio 2021;agosto 2021;septiembre 2021;octubre 2021;noviembre 2021;diciembre 2021;enero 2022;febrero 2022;marzo 2022;abril 2022;mayo 2022;junio 2022;julio 2022;agosto 2022;septiembre 2022;octubre 2022;noviembre 2022;diciembre 2022;enero 2023;febrero 2023;marzo 2023;abril 2023;mayo 2023;junio 2023;julio 2023;agosto 2023
Total Hechos delictuosos;226;317;330;295;309;343;353;319;290;305;258;269;214;272;389;327;280;315;326;300;329;355;372;392;285;286;367;351;412;424;397;398;354;437;385;388;367;400;473;524;425;373;464;382;543;566;357;496;499;444;557;485;519;553;561;696;591;566;642;681;552;552;688;539;605;645;527;588;612;604;590;727;793;634;419;402;401;465;539;433;425;389;519;508;601;534;629;584;493;557;536;522;546;523;554;578;522;560;623;537;582;610;513;642;604;638;572;582;605;479;613;542;583;556;544;633
Contra las Personas;25;22;51;60;28;47;48;60;42;44;56;66;25;65;59;70;52;42;32;74;48;50;41;32;30;29;49;47;41;42;39;46;43;43;42;37;24;49;88;51;75;60;58;52;124;109;71;77;34;74;82;98;60;98;52;108;49;93;86;99;57;57;94;50;89;113;68;98;72;74;97;108;127;119;108;51;59;72;78;60;36;50;48;72;95;101;108;70;64;121;85;80;94;93;93;66;99;83;99;98;112;93;59;87;92;81;93;96;129;99;125;83;99;71;78;73
   Homicidios Dolosos;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
   Homicidios dolosos en grado de tentativa;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Homicidios Culposos e Accidentes de Tránsito;0;0;3;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;2;0;1;0;0;0;0;0;0;1;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Homicidios culposos por otros hechos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Lesiones dolosas;23;16;37;28;19;29;32;28;30;29;29;25;18;29;43;54;42;22;18;23;29;23;24;25;20;15;17;13;21;27;18;16;26;27;16;15;13;25;27;33;27;27;38;24;5;19;23;25;6;10;29;25;34;32;27;43;29;23;40;30;14;14;35;20;27;55;32;31;26;23;23;21;34;35;39;16;23;28;34;20;14;18;16;29;55;31;58;41;31;16;31;30;41;34;40;26;38;31;37;38;40;40;8;51;39;40;35;35;23;33;41;31;27;32;33;28
   Lesiones culposas en accidentes de tránsito;0;0;7;5;5;2;7;4;1;1;2;1;2;3;3;2;8;2;1;4;1;4;3;5;3;4;2;10;6;0;5;2;4;1;3;3;4;4;18;7;6;10;4;7;7;20;5;5;1;2;4;17;8;2;1;0;8;11;6;4;2;2;4;2;3;1;6;6;0;2;1;4;4;6;2;1;1;1;6;1;1;0;0;5;1;3;0;11;3;16;5;3;2;2;6;5;6;1;5;5;5;4;17;4;0;3;7;1;5;1;1;2;0;6;5;1
   Lesiones culposas por otros hechos;0;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;1;1;0;1;1;0;0;0;2;7;7;0;7;0;0;0;20;15;0;21;0;9;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;8;0;11;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Otros delitos contra las personas;2;1;2;27;4;16;6;27;9;14;24;40;3;33;13;13;2;18;13;47;18;18;12;2;6;10;29;23;13;14;16;26;11;14;22;19;4;12;36;11;35;23;16;20;90;54;43;24;26;50;48;55;18;64;24;65;12;55;39;64;39;39;55;26;56;57;29;61;34;49;62;82;89;78;67;34;35;43;37;38;20;32;31;37;37;67;50;18;29;89;49;47;51;56;47;34;54;51;57;55;66;48;34;32;53;37;51;59;101;65;83;50;72;33;40;44
