Tipo de Delito;enero 2014;febrero 2014;marzo 2014;abril 2014;mayo 2014;junio 2014;julio 2014;agosto 2014;septiembre 2014;octubre 2014;noviembre 2014;diciembre 2014;enero 2015;febrero 2015;marzo 2015;abril 2015;mayo 2015;junio 2015;julio 2015;agosto 2015;septiembre 2015;octubre 2015;noviembre 2015;diciembre 2015;enero 2016;febrero 2016;marzo 2016;abril 2016;mayo 2016;junio 2016;julio 2016;agosto 2016;septiembre 2016;octubre 2016;noviembre 2016;diciembre 2016;enero 2017;febrero 2017;marzo 2017;abril 2017;mayo 2017;junio 2017;julio 2017;agosto 2017;septiembre 2017;octubre 2017;noviembre 2017;diciembre 2017;enero 2018;febrero 2018;marzo 2018;abril 2018;mayo 2018;junio 2018;julio 2018;agosto 2018;septiembre 2018;octubre 2018;noviembre 2018;diciembre 2018;enero 2019;febrero 2019;marzo 2019;abril 2019;mayo 2019;junio 2019;julio 2019;agosto 2019;septiembre 2019;octubre 2019;noviembre 2019;diciembre 2019;enero 2020;febrero 2020;marzo 2020;abril 2020;mayo 2020;junio 2020;julio 2020;agosto 2020;septiembre 2020;octubre 2020;noviembre 2020;diciembre 2020;enero 2021;febrero 2021;marzo 2021;abril 2021;mayo 2021;junio 2021;julio 2021;agosto 2021;septiembre 2021;octubre 2021;noviembre 2021;diciembre 2021;enero 2022;febrero 2022;marzo 2022;abril 2022;mayo 2022;junio 2022;julio 2022;agosto 2022;septiembre 2022;octubre 2022;noviembre 2022;diciembre 2022;enero 2023;febrero 2023;marzo 2023;abril 2023;mayo 2023;junio 2023;julio 2023;agosto 2023
Total Hechos delictuosos;187;188;258;257;241;294;270;224;289;298;280;238;236;207;272;239;254;189;208;170;184;227;216;215;208;273;298;257;261;269;237;227;287;271;291;328;347;296;336;271;283;249;305;296;293;282;347;360;339;314;356;339;275;332;337;315;258;268;399;423;362;362;374;290;381;321;312;330;303;291;387;332;313;351;303;334;320;273;287;292;317;258;320;335;227;374;392;352;291;346;293;326;323;378;318;329;262;277;331;294;275;280;268;330;306;263;282;273;242;258;283;218;277;231;231;298
Contra las Personas;30;40;53;50;61;43;64;51;61;79;72;62;47;44;55;69;56;60;66;22;56;55;54;61;54;56;88;80;71;75;54;59;90;92;88;87;118;77;66;71;54;75;62;61;78;96;64;95;80;89;99;109;83;117;104;111;84;90;136;134;112;112;92;84;112;73;75;80;81;72;102;95;70;77;57;38;52;68;64;85;58;52;59;66;46;69;79;89;82;87;90;87;68;105;83;109;76;58;84;64;68;61;50;80;83;65;64;66;70;92;85;34;79;60;60;80
   Homicidios Dolosos;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Homicidios dolosos en grado de tentativa;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
   Homicidios Culposos e Accidentes de Tránsito;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
   Homicidios culposos por otros hechos;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
   Lesiones dolosas;25;30;36;23;38;37;47;30;37;57;36;30;29;28;36;23;29;31;22;12;23;22;17;28;24;21;33;31;31;36;20;14;33;26;31;35;33;17;24;31;25;23;24;20;25;13;27;20;35;25;23;35;24;34;33;38;17;32;46;35;36;36;25;36;26;32;29;24;17;24;22;27;34;30;23;15;13;31;33;36;23;21;21;21;14;18;22;27;23;26;29;28;31;34;32;44;29;22;22;19;16;24;18;23;34;29;25;19;27;27;26;16;34;17;17;38
   Lesiones culposas en accidentes de tránsito;0;0;0;12;9;6;6;9;5;3;11;9;7;5;8;8;4;6;6;4;9;5;8;8;3;5;10;7;6;4;6;5;10;17;16;12;21;11;2;6;5;10;8;3;8;16;3;8;6;9;8;20;5;8;2;10;5;9;10;13;11;11;9;2;22;8;10;13;2;7;7;4;8;9;2;0;1;1;2;3;3;3;2;3;7;7;3;4;7;7;4;1;5;4;12;6;4;3;6;10;14;8;3;17;7;3;5;6;4;9;3;6;10;12;12;6
   Lesiones culposas por otros hechos;5;9;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;3;0;0;6;9;0;0;0;3;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;1;0;4;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;2;3;0;0;0;0;2;0;0;0;0;0;1;1;3;0;4;0;1;0;0;0
   Otros delitos contra las personas;0;0;0;15;14;0;11;12;19;18;24;23;11;11;11;37;23;21;38;6;24;27;29;25;26;30;45;41;34;35;28;40;34;46;41;40;58;40;40;33;24;39;28;37;45;65;34;66;38;51;67;53;54;73;69;62;62;49;80;85;64;64;57;42;64;33;36;43;62;40;69;62;26;38;31;23;37;36;29;46;31;28;35;42;23;43;54;57;52;54;56;57;32;65;36;56;42;32;56;35;36;28;29;40;42;33;33;40;35;56;51;12;34;31;31;36
